,height,name
1,"6'3""",Melo Trimble
2,"6'3""",Bryant McIntosh
3,"6'1""",Nate Mason
4,"6'3""",Phil Booth
5,"6'9""",Angel Delgado
6,"6'6""",Desi Rodriguez
7,"6'3""",Khadeen Carrington
8,"6'6""",Kelan Martin
9,"6'6""",Trevon Bluiett
10,"6'8""",Yante Maten
11,"6'8""",Luke Maye
12,"6'4""",Jerome Robinson
13,"6'0""",Glynn WatsonJr.
14,"6'6""",Jordan Murphy
15,"6'10""",Ethan Happ
16,"6'6""",Eli Cain
17,"6'10""",Jessie Govan
18,"6'3""",Jalen Brunson
19,"6'9""",Derek Ogbeide
20,"6'7""",Tyler Davis
21,"6'9""",Josh Nebo
22,"6'8""",Horace Spencer
23,"6'11""",Kyle Alexander
24,"6'9""",Chris Silva
25,"6'10""",Aric Holman
26,"6'9""",Kevarrius Hayes
27,"6'9""",Donta Hall
28,"6'6""",Tyus Battle
29,"6'1""",Ky Bowman
30,"6'1""",Cassius Winston
31,"6'8""",Lamar Stevens
32,"6'7""",Alpha Diallo
33,"6'1""",Shamorie Ponds
34,"6'1""",Kamar Baldwin
35,"6'2""",Myles Powell
36,"5'11""",Markus Howard
37,"6'6""",Adrio Bailey
38,"6'8""",Clevon Brown
39,"6'11""",Austin Wiley
40,"6'8""",Robert Williams
41,"6'7""",Grant Williams
42,"6'7""",Anfernee McLemore
43,"6'11""",Luka Garza
44,"6'11""",Nicolas Claxton
45,"6'11""",Daniel Gafford
46,"6'11""",Abdul Ado
47,"6'2""",Kyle Guy
48,"6'8""",Doug McDermott
49,"7'0""",Frank Kaminsky
50,"6'9""",Corey Brewer
51,"6'6""",Casey Jacobsen
52,"6'2""",Chris Lofton
53,"6'6""",Brandon Roy
54,"6'9""",Wayne Simien
55,"6'11""",Nick Fazekas
56,"6'0""",Dan Dickau
57,"6'9""",Nick Collison
58,"7'0""",Chris Kaman
59,"6'10""",Drew Gooden
60,"6'10""",Kevin Love
61,"5'11""",Sherron Collins
62,"6'9""",David West
63,"6'9""",Sean May
64,"6'7""",DeJuan Blair
65,"6'5""",Darryl Morsell
66,"7'0""",Greg Oden
67,"7'0""",Andrew Bogut
68,"6'9""",Michael Beasley
69,"6'8""",Shane Battier
70,"6'0""",TJ Ford
71,"6'10""",Emeka Okafor
72,"5'11""",Ty Lawson
73,"6'4""",John Wall
74,"6'8""",Adam Morrison
75,"6'0""",Chris Paul
76,"6'0""",Jameer Nelson
77,"6'8""",Carmelo Anthony
78,"6'4""",Dwyane Wade
79,"6'10""",Blake Griffin
80,"6'3""",Stephen Curry
81,"6'1""",Jason Williams
82,"6'5""",Bryant Smith
83,"6'7""",Kawhi Leonard
